SalesDate,ItemID,QuantityOfItemSold
9/26/2022,11,35
9/26/2022,12,28
9/26/2022,13,26
9/26/2022,14,19
9/27/2022,1,16
9/27/2022,2,9
9/27/2022,3,22
9/27/2022,4,9
9/27/2022,5,28
9/27/2022,6,4
9/27/2022,7,11
9/27/2022,8,14
9/27/2022,9,20
9/27/2022,10,25
9/27/2022,11,31
9/27/2022,12,26
9/27/2022,13,23
9/27/2022,14,17
9/28/2022,1,19
9/28/2022,2,11
9/28/2022,3,26
9/28/2022,4,11
9/28/2022,5,34
9/28/2022,6,5
9/28/2022,7,13
9/28/2022,8,17
9/28/2022,9,24
9/28/2022,10,30
9/28/2022,11,37
9/28/2022,12,31
9/28/2022,13,28
9/28/2022,14,20
9/29/2022,1,21
9/29/2022,2,12
9/29/2022,3,29
9/29/2022,4,12
9/29/2022,5,37
9/29/2022,6,6
9/29/2022,7,14
9/29/2022,8,19
9/29/2022,9,26
9/29/2022,10,33
9/29/2022,11,41
9/29/2022,12,34
9/29/2022,13,30
9/29/2022,14,22
9/30/2022,1,18
9/30/2022,2,11
9/30/2022,3,26
9/30/2022,4,11
9/30/2022,5,33
9/30/2022,6,5
9/30/2022,7,13
9/30/2022,8,17
9/30/2022,9,24
9/30/2022,10,30
9/30/2022,11,37
9/30/2022,12,30
9/30/2022,13,27
9/30/2022,14,20
